dataset,LTER_Site,C,N,CN_Ratio,Nit,Min,NM_Ratio,Lat,Long,MAT,MAP
2,Arctic,37.7126,1.95171,19.32284456,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7126,1.95171,19.32284456,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7126,1.95171,19.32284456,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7126,1.95171,19.32284456,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7126,1.95171,19.32284456,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,42.6060,1.69400,25.15112161,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,42.6060,1.69400,25.15112161,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,42.6060,1.69400,25.15112161,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,42.6060,1.69400,25.15112161,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,42.6060,1.69400,25.15112161,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,29.9959,2.13218,14.06818182,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,29.9959,2.13218,14.06818182,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,29.9959,2.13218,14.06818182,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,29.9959,2.13218,14.06818182,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7517,1.97974,19.06896552,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7517,1.97974,19.06896552,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7517,1.97974,19.06896552,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7517,1.97974,19.06896552,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,37.7517,1.97974,19.06896552,NA,NA,NA,68.63,-149.60,-7.88,312.32
5,Bonanza Creek,41.7173,2.48840,16.76470588,0.02875,0.18965,NA,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,52.4516,2.73979,19.14440573,0.07296,0.17083,0.42709,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,29.8269,1.66212,17.94511806,0.09206,0.13652,0.67431,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,58.1476,3.05376,19.0413338,0.04042,0.15499,0.26083,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,40.5612,2.12140,19.12,0.06092,0.15886,0.38350,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,52.3355,3.05055,17.15608919,0.23498,0.23959,0.98079,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,61.5133,3.38543,18.17001546,0.14815,0.21571,0.68679,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,100.5163,5.34448,18.80751909,0.22908,0.17270,1.32641,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,44.4553,2.58486,17.19838057,0.46785,0.63418,0.73774,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,49.2692,2.93648,16.77833215,0.06357,0.01253,5.07174,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,59.3175,4.35930,13.60712519,0.01582,0.11826,0.13381,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,86.7761,5.08189,17.07555178,0.01379,-0.08035,-0.17168,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,66.5219,3.64641,18.24312334,0.01269,0.01284,0.98788,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,61.4421,4.09075,15.01977327,0.00858,0.06191,0.13854,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,51.4121,3.38865,15.17186505,0.01383,0.29145,0.04745,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,43.0606,2.38019,18.0912681,0.73507,0.62885,1.16892,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,29.3894,1.47887,19.87288136,0.14049,0.31487,0.44617,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,27.8437,2.35512,11.82261641,0.14233,0.13125,1.08449,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,37.0866,1.84337,20.11898017,0.07343,0.28604,0.25671,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,33.0970,1.88410,17.56651885,0.00180,0.14660,0.01227,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,71.1015,3.60850,19.70389915,0.01448,-0.04343,-0.33332,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,75.2802,4.20515,17.90188679,0.28232,1.12130,0.25178,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,55.9735,3.43818,16.28,0.45885,0.58601,0.78301,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,39.9357,2.18033,18.31635129,0.16282,0.18523,0.87902,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,40.6339,2.29459,17.70862148,0.03192,0.06620,0.48227,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,48.9760,3.55535,13.77529447,0.13825,0.28060,0.49270,64.70,-148.20,-3.10,269.00
5,Bonanza Creek,89.6516,4.56795,19.62623413,0.04969,0.07598,0.65404,64.70,-148.20,-3.10,269.00
