Dataset_Number,File_Name,LTER_SITE,Sub_Site,Sub_Site_2,Treatment,Treatment 2,Date,Nitrification,Mineralization,Total Soil C,Total soil C (%),Total soil N (%),Total SoilN,Soil Organic Matter,Change_NH4,Change_NO3,Initial_NH4,Final_NH4,Initial_NO3,Final_NO3,Net Nitrification,Net mineralization,T0 collection date,T30 extraction date,N min Lab,N min Field,Nit Field,CO2 Treatment,Nitrogen Treatment,labile c
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,6.47,7.07,,,,,,0.6,6.47,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,-1.13,-4.78,,,,,,-3.66,-1.13,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,-0.92,-17.55,,,,,,-16.63,-0.92,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,2.46,-0.23,,,,,,-2.69,2.46,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.19,-10.09,,,,,,-10.27,0.19,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,13-Aug-1996,2.03,10.08,,,,,,8.05,2.03,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,13-Aug-1996,-1.56,17.83,,,,,,19.39,-1.56,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,13-Aug-1996,0.19,13.59,,,,,,13.4,0.19,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,13-Aug-1996,NA,#N/A,,,,,,4.37,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,13-Aug-1996,0.6,9.02,,,,,,8.43,0.6,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,13-Aug-1996,-0.04,151.58,,,,,,151.62,-0.04,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,13-Aug-1996,0.47,-10.83,,,,,,-11.3,0.47,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,13-Aug-1996,3.27,110.78,,,,,,107.51,3.27,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,-1.76,46.82,,,,,,48.59,-1.76,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,-2.02,2.41,,,,,,4.42,-2.02,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,-0.31,6.36,,,,,,6.66,-0.31,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,2.3,6.56,,,,,,4.26,2.3,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,0.16,1.86,,,,,,1.71,0.16,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,-0.3,4.18,,,,,,4.48,-0.3,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,0.29,1.92,,,,,,1.63,0.29,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,SAG,6,NA,,13-Aug-1996,0.14,-3.62,,,,,,-3.76,0.14,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,09-Aug-1997,3.95,4.99,,,,,,1.04,3.95,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,09-Aug-1997,0.78,-6.42,,,,,,-7.2,0.78,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,09-Aug-1997,1.16,9.77,,,,,,8.61,1.16,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,09-Aug-1997,7.95,15.6,,,,,,7.66,7.95,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,09-Aug-1997,1.09,15.47,,,,,,14.37,1.09,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,09-Aug-1997,0.22,20.83,,,,,,20.61,0.22,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,09-Aug-1997,-0.29,20.68,,,,,,20.97,-0.29,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,09-Aug-1997,0.81,1.78,,,,,,0.98,0.81,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,-1.4,-7.21,,,,,,-5.81,-1.4,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,0.64,0.03,,,,,,-0.61,0.64,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,0.33,-14.63,,,,,,-14.96,0.33,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,6.47,7.07,,,,,,0.6,6.47,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,-1.13,-4.78,,,,,,-3.66,-1.13,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,-0.92,-17.55,,,,,,-16.63,-0.92,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,2.46,-0.23,,,,,,-2.69,2.46,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1997,0.19,-10.09,,,,,,-10.27,0.19,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.07,3.42,,,,,,3.48,-0.07,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.47,5.91,,,,,,6.38,-0.47,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.26,24.91,,,,,,25.18,-0.26,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,0.03,19.78,,,,,,19.75,0.03,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.05,15.86,,,,,,15.91,-0.05,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.14,11.9,,,,,,12.04,-0.14,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.1,20.64,,,,,,20.75,-0.1,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1998,-0.14,24.52,,,,,,24.65,-0.14,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,09-Aug-1998,8.28,22.24,,,,,,13.96,8.28,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,09-Aug-1998,-0.08,18.95,,,,,,19.03,-0.08,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,09-Aug-1998,0.8,165.46,,,,,,164.66,0.8,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,09-Aug-1998,-0.24,-110.55,,,,,,-110.3,-0.24,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,09-Aug-1998,1.73,209.15,,,,,,207.43,1.73,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,09-Aug-1998,1.32,124.28,,,,,,122.97,1.32,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,09-Aug-1998,0.31,-100.18,,,,,,-100.49,0.31,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,09-Aug-1998,1.56,28.22,,,,,,26.66,1.56,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik Non-Acid,,NA,,09-Aug-1998,-0.74,-4.31,,,,,,-3.57,-0.74,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik Non-Acid,,NA,,09-Aug-1998,-0.27,-0.78,,,,,,-0.51,-0.27,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik Non-Acid,,NA,,09-Aug-1998,-0.67,11.91,,,,,,12.58,-0.67,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik Non-Acid,,NA,,09-Aug-1998,-0.27,-0.85,,,,,,-0.58,-0.27,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik Non-Acid,,NA,,09-Aug-1998,0.79,7.75,,,,,,6.95,0.79,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik Non-Acid,,NA,,09-Aug-1998,-0.87,17.92,,,,,,18.79,-0.87,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,,NA,,12-Aug-1999,0.03,14.92,,,,,,14.89,0.03,,,,,,0,,,,,,,,
